"Indicator","Type","Description","Reference"
"371acda8d719426b6a8867767260b9ce","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"e798cfe49e6afb61f58d79a53f06d785","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"8cf9db604b45bbf48f5d334dedf65e5b","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"19d12c8c98c1f21810efb43edc816c83","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"5e769c5f1a0679e997ee59f4f93840a5","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"d5d223f0112574d8a0e9e56bc94353ba","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"8cd778cd9b5e7201383f83e5927db6bf","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"42693ebe598ef575834d4f82adbd6593","FILE MD5","","https://401trg.pw/an-update-on-winnti"
"37F21CF3015D3BF0AE110353C1EDDAB5","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"DE958C34D0DC248FCD585D5167A92F79","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"84FA8F6D0DD1C7C4AFF192A662746EC3","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"761C96290B7517BB59A206FB67825A38","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"3360462224EB2AF47AB3A7C90B403667","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"AB3DD6EE0F346709192162A317616A0A","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"6AA17A48F8EA944282812954676F0AD8","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"37ecaa468199aa4e889f667dbf4443c4","FILE MD5","Satori mips.satori","https://401trg.pw/analysis-of-active-satori-botnet-infections"
"09719d82730f3f8ce12ccbd75dd93845","FILE MD5","Satori mipsel.satori","https://401trg.pw/analysis-of-active-satori-botnet-infections"
"9fc1370640c0089702e9af9114754ad4","FILE MD5","Satori arm7.satori","https://401trg.pw/analysis-of-active-satori-botnet-infections"
"d7e12cace51941af2fdc7acb4891d3c2","FILE MD5","Satori arm.satori","https://401trg.pw/analysis-of-active-satori-botnet-infections"
"af70854a74aed2fe28dc81b2549ca679","FILE MD5","Satori arm64.satori","https://401trg.pw/analysis-of-active-satori-botnet-infections"
3b58e122d9e17121416b146daab4db9d,FILE MD5,,http://401trg.pw/burning-umbrella/
b6be3f0864354a2e68144d17c3884d3b,FILE MD5,,http://401trg.pw/burning-umbrella/
d848d4ec24e678727b63251e54a0a5de,FILE MD5,,http://401trg.pw/burning-umbrella/
013cd79973f9e26cd86719a988227c0c,FILE MD5,,http://401trg.pw/burning-umbrella/
031cb00db70f12ba917cd5675658f2c7,FILE MD5,,http://401trg.pw/burning-umbrella/
07f33ec44f655fe5386b342a10ae48a6,FILE MD5,,http://401trg.pw/burning-umbrella/
0810959693b40e9b61046f594f86bdb4,FILE MD5,,http://401trg.pw/burning-umbrella/
095cd159b460d9232123cadfa3670158,FILE MD5,,http://401trg.pw/burning-umbrella/
0ae61e7f2dd01e6293b9df2e2787caca,FILE MD5,,http://401trg.pw/burning-umbrella/
0b6019cb7d872112837e3459266e1337,FILE MD5,,http://401trg.pw/burning-umbrella/
0c5861504dd9156b601c0db63eebaf52,FILE MD5,,http://401trg.pw/burning-umbrella/
0e7c4616c04c1a200a95b908ecd70027,FILE MD5,,http://401trg.pw/burning-umbrella/
0f8a8eaf95c7b3b5d9b60a73140fc2bb,FILE MD5,,http://401trg.pw/burning-umbrella/
108137d380650c99a682077255e95418,FILE MD5,,http://401trg.pw/burning-umbrella/
12c8dfe94914c793c8a72b024d9334f6,FILE MD5,,http://401trg.pw/burning-umbrella/
14a9d379d3b16146ac58bc1fd0f3561a,FILE MD5,,http://401trg.pw/burning-umbrella/
15c700bc1e4ec53af996f5628e97a541,FILE MD5,,http://401trg.pw/burning-umbrella/
15d909f3761b4ed5b85428bea971fc3b,FILE MD5,,http://401trg.pw/burning-umbrella/
16406aeff6ded69b102b7442324bcd37,FILE MD5,,http://401trg.pw/burning-umbrella/
1670b57851c73813cb17479b302f84c0,FILE MD5,,http://401trg.pw/burning-umbrella/
171ffa1fb15a298bcca8d8108fe913a9,FILE MD5,,http://401trg.pw/burning-umbrella/
18b2e353c4628013c27aa1528cd7bd9c,FILE MD5,,http://401trg.pw/burning-umbrella/
1c1157f3fbd1587527e5ade92f8f2f7f,FILE MD5,,http://401trg.pw/burning-umbrella/
1caa2b7cc66d901994a0893baecd2e06,FILE MD5,,http://401trg.pw/burning-umbrella/
1ec70a07ec2aa63ba568160d22a78611,FILE MD5,,http://401trg.pw/burning-umbrella/
270bba9ad5d6a8cf7e828870e4ae323f,FILE MD5,,http://401trg.pw/burning-umbrella/
28c3fa62b1f6a9baf71e18d78d0b97ca,FILE MD5,,http://401trg.pw/burning-umbrella/
2a312a7fcd5fd20e4a50e73b6b9c93de,FILE MD5,,http://401trg.pw/burning-umbrella/
33d385520a2677cb4232d25fdd49407f,FILE MD5,,http://401trg.pw/burning-umbrella/
3af5259a62cd4fd5ff0df1a54478997e,FILE MD5,,http://401trg.pw/burning-umbrella/
3b56e91ed28d1bef96ee80ebb7ec90a3,FILE MD5,,http://401trg.pw/burning-umbrella/
3beaa003e5e1eaf60fe18c7a5b039a62,FILE MD5,,http://401trg.pw/burning-umbrella/
3f0649854d60a43ef8bea236a0eecee2,FILE MD5,,http://401trg.pw/burning-umbrella/
3f3f0205a6526fc87a23a4e123e55d55,FILE MD5,,http://401trg.pw/burning-umbrella/
41b0e32592c9f846915d2452d1cab758,FILE MD5,,http://401trg.pw/burning-umbrella/
43fec0660c9e28ac046c0ffa8c987ed9,FILE MD5,,http://401trg.pw/burning-umbrella/
44c4afc43c0be6b8710226e64d3b58f9,FILE MD5,,http://401trg.pw/burning-umbrella/
459323ec0efc8d4e0f7c4908e08035fd,FILE MD5,,http://401trg.pw/burning-umbrella/
4617b5821d3d378addf68450ca6db761,FILE MD5,,http://401trg.pw/burning-umbrella/
49984ae27318351a541fae53522d3bef,FILE MD5,,http://401trg.pw/burning-umbrella/
49b1ca0752d166c2cc5e04cbab8b71ee,FILE MD5,,http://401trg.pw/burning-umbrella/
5042398cd279b93c2b76a3d0e78b5887,FILE MD5,,http://401trg.pw/burning-umbrella/
5048a96b8a0abb9dc9c068e16373598b,FILE MD5,,http://401trg.pw/burning-umbrella/
54a0136213c408a489b9a158d1dcc5de,FILE MD5,,http://401trg.pw/burning-umbrella/
5620be18199c15296f3b23ba5831e2d4,FILE MD5,,http://401trg.pw/burning-umbrella/
5747b40d886fb05e5e05298549c9caa5,FILE MD5,,http://401trg.pw/burning-umbrella/
5a44818722a4f61602c9490012a8658e,FILE MD5,,http://401trg.pw/burning-umbrella/
5ad07321baed16a6d1187169c3160df4,FILE MD5,,http://401trg.pw/burning-umbrella/
5c7828e1f193ef222b083c6ef8c888f6,FILE MD5,,http://401trg.pw/burning-umbrella/
5ed62492675e5577f5df02b349339195,FILE MD5,,http://401trg.pw/burning-umbrella/
603854698d11963ae116bc735a8b40ca,FILE MD5,,http://401trg.pw/burning-umbrella/
6275219b8a353f7e093c7dd2e9301567,FILE MD5,,http://401trg.pw/burning-umbrella/
6513d8c68a32d6989b637d1e827f2c11,FILE MD5,,http://401trg.pw/burning-umbrella/
65e4bd4dddd164e3f331d677922ee288,FILE MD5,,http://401trg.pw/burning-umbrella/
68af93fd6d813c4110ad7850ed027b69,FILE MD5,,http://401trg.pw/burning-umbrella/
6eefa1529bcf192f7ccea1f5aeefe707,FILE MD5,,http://401trg.pw/burning-umbrella/
6f4ce475c83bbb9890c3180973a2f75b,FILE MD5,,http://401trg.pw/burning-umbrella/
71f0e9068a8d3f9a81aecccad7571535,FILE MD5,,http://401trg.pw/burning-umbrella/
73497bb006c082008a49c09fbcdc7787,FILE MD5,,http://401trg.pw/burning-umbrella/
740249492922bf531821692b4c23498e,FILE MD5,,http://401trg.pw/burning-umbrella/
74ec010ca8ff895b1ab801a03e6282bb,FILE MD5,,http://401trg.pw/burning-umbrella/
75c775cbfaf9bd40c504c3737e93fafd,FILE MD5,,http://401trg.pw/burning-umbrella/
7b218f72c4baf98673340cf4789ec012,FILE MD5,,http://401trg.pw/burning-umbrella/
7b6ca860c3e6bdc75b0be26db70a603a,FILE MD5,,http://401trg.pw/burning-umbrella/
8674e3c77e8051cfdf1c4d321a7188bf,FILE MD5,,http://401trg.pw/burning-umbrella/
86fd00eb911c241c9367bf0d4c079300,FILE MD5,,http://401trg.pw/burning-umbrella/
8b2db1c9d8ba805d5a310910fd6aff7d,FILE MD5,,http://401trg.pw/burning-umbrella/
8e3e4b006af3c1835ef3b7b4dcd3f1de,FILE MD5,,http://401trg.pw/burning-umbrella/
8e4a973b7440e8bb3f6d272660d6c06d,FILE MD5,,http://401trg.pw/burning-umbrella/
92274d90c221b0aad382f816026a4781,FILE MD5,,http://401trg.pw/burning-umbrella/
953c183445b67059e2a2378f8d1b6709,FILE MD5,,http://401trg.pw/burning-umbrella/
97734c735b031143a3347fb89915f477,FILE MD5,,http://401trg.pw/burning-umbrella/
98a073e1e545075aa0030995cc07745a,FILE MD5,,http://401trg.pw/burning-umbrella/
9d77a9318c53affe7c170710644491fe,FILE MD5,,http://401trg.pw/burning-umbrella/
9e3b5b7988c0307a60b9a2c15161c1ff,FILE MD5,,http://401trg.pw/burning-umbrella/
9ec4bc6990635c847d95271bf8c77794,FILE MD5,,http://401trg.pw/burning-umbrella/
