"Indicator","Type","Description","Reference"
"job.yoyakuweb.technology","DOMAIN","Phishing email link destination.","https://401trg.pw/winnti-evolution-going-open-source"
"resume.immigrantlol.com","DOMAIN","Phishing email link destination.","https://401trg.pw/winnti-evolution-going-open-source"
"macos.exoticlol.com","DOMAIN","Likely phishing email link destination.","https://401trg.pw/winnti-evolution-going-open-source"
"css.google-statics.com","DOMAIN","BeEF Landing and C2.","https://401trg.pw/winnti-evolution-going-open-source"
"minami.cc","DOMAIN","Potential BeEF - Low confidence (Linode).","https://401trg.pw/winnti-evolution-going-open-source"
"vps2java.securitytactics.com","DOMAIN","Malware C2.","https://401trg.pw/winnti-evolution-going-open-source"
"106.184.5.252","IP","Phishing email link destination.","https://401trg.pw/winnti-evolution-going-open-source"
"61.78.62.21","IP","Used in BeEF C2, reused Winnit Infra","https://401trg.pw/winnti-evolution-going-open-source"
"139.162.106.19","IP","Linode - Used in BeEF C2.","https://401trg.pw/winnti-evolution-going-open-source"
"172.104.101.131","IP","Linode - Malware C2.","https://401trg.pw/winnti-evolution-going-open-source"
"139.162.17.161","IP","Linode - Used in BeEF C2.","https://401trg.pw/winnti-evolution-going-open-source"
"133.242.145.137","IP","Linode - Used in BeEF C2.","https://401trg.pw/winnti-evolution-going-open-source"
"106.185.31.128","IP","Linode - hosting BeEF landings.","https://401trg.pw/winnti-evolution-going-open-source"
