Indicator,Type,Description,Reference
12eb8a9f1a7cd1cc10e57847dd5476c6062b9e58,CERT SHA1,,http://401trg.pw/burning-umbrella/
8df0b63fbdd9616d581bdb101929eb17f80f9e99,CERT SHA1,,http://401trg.pw/burning-umbrella/
92a1c7e1fd5afccd957e7fcbcdd2431eb9bf3d50,CERT SHA1,,http://401trg.pw/burning-umbrella/
a22d97e4ede82ae8375522aca59db575d08c5c35,CERT SHA1,,http://401trg.pw/burning-umbrella/
ddf115821717dabb5e69c753d27460242204031e,CERT SHA1,,http://401trg.pw/burning-umbrella/
5e0fa58bf1c4c1b63144052063dc2bb9129aa1f3,CERT SHA1,,http://401trg.pw/burning-umbrella/
c3e55bd6fe0205fe7dc1ad53ed03db269ba5da71,CERT SHA1,,http://401trg.pw/burning-umbrella/
1cc87c7c900d584400c5c82073672888fefb145e,CERT SHA1,,http://401trg.pw/burning-umbrella/
ca2854658dff72da77bf82c1fe5899d09f9f559d,CERT SHA1,,http://401trg.pw/burning-umbrella/
93caf237baa37cd42dfc4653ffc1792fcbad4642,CERT SHA1,,http://401trg.pw/burning-umbrella/
aff17a2e1969e4bf81dbaa3591778887546570cb,CERT SHA1,,http://401trg.pw/burning-umbrella/
3f3da327ca330396f1ab0a543be284f85d9d414a,CERT SHA1,,http://401trg.pw/burning-umbrella/
y177054.ppp.asahi-net.or.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
newsite.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
www.hyper.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
office.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
hyper.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
peq.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
next.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
ftp.parakaro.co.jp,DOMAIN,,http://401trg.pw/burning-umbrella/
52.199.171.117,IP,,http://401trg.pw/burning-umbrella/
118.243.177.54,IP,,http://401trg.pw/burning-umbrella/
